ID,score
0,48.253716
1,57.562733
2,93.05362
3,76.01103
4,63.211273
5,52.923298
6,82.53591
7,64.67212
8,83.490166
9,76.30481
10,66.51882
11,56.499084
12,76.996155
13,60.674988
14,38.691395
15,76.48294
16,45.531498
17,63.923023
18,57.696407
19,63.074932
20,63.67622
21,60.119804
22,67.84401
23,65.545654
24,59.434742
25,62.779064
26,63.159916
27,75.87043
28,71.58228
29,62.555683
30,63.009552
31,72.70612
32,73.80426
33,58.811665
34,78.95583
35,55.395054
36,59.67332
37,70.40736
38,55.009827
39,82.28262
40,76.82737
41,52.803825
42,49.49999
43,70.00595
44,69.45162
45,61.481865
46,68.00549
47,66.16078
48,50.081867
49,51.947803
50,51.22286
51,57.54145
52,68.162766
53,67.04092
54,57.063587
55,66.994385
56,76.53755
57,55.207153
58,65.839
59,58.765015
60,81.52119
61,38.644604
62,82.70373
63,80.929825
64,51.335945
65,72.64146
66,74.355194
67,60.638412
68,69.80422
69,70.27019
70,73.469406
71,66.643524
72,77.578415
73,82.81403
74,56.597588
75,61.866974
76,59.81966
77,64.96422
78,54.041008
79,52.877544
80,58.149555
81,54.915344
82,71.54374
83,63.566044
84,46.406864
85,61.307816
86,66.03845
87,80.93015
88,56.8707
89,81.74576
90,56.83961
91,75.388985
92,76.88096
93,47.064392
94,75.605286
95,71.55824
96,55.78819
97,64.55313
98,58.894966
99,60.61121
100,69.65273
101,66.423874
102,80.11211
103,59.00923
104,62.407463
105,52.410873
106,39.278088
107,77.0765
108,54.87089
109,45.995434
110,62.790333
111,64.42811
112,59.417236
113,59.547073
114,66.68951
115,58.55998
116,61.64576
117,60.845745
118,76.90067
119,44.179443
120,49.135086
121,56.42824
122,61.342594
123,59.211025
124,56.597614
125,65.82359
126,69.515236
127,98.79557
128,71.51167
129,67.06868
130,51.921143
131,73.00653
132,68.02732
133,76.138176
134,42.046738
135,77.077126
136,56.124413
137,62.080482
138,100.02431
139,49.909122
140,60.18671
141,65.50542
142,80.1923
143,82.74313
144,39.173656
145,62.094246
146,81.713974
147,88.30549
148,75.229034
149,60.284874
150,61.68537
151,73.438225
152,48.339672
153,73.82103
154,67.06395
155,57.436184
156,60.97443
157,67.015305
158,85.7724
159,57.00435
160,76.90404
161,57.678734
162,90.23238
163,57.623806
164,64.9295
165,86.38601
166,57.267094
167,58.62803
168,30.317963
169,47.298462
170,75.66878
171,43.015453
172,58.244987
173,75.217255
174,65.03567
175,78.68557
176,55.21543
177,53.90593
178,100.12257
179,50.14889
180,69.50459
181,78.86619
182,62.45293
183,73.48658
184,59.218193
185,51.732597
186,48.336964
187,71.00072
188,65.98768
189,65.10794
190,65.73922
191,42.517174
192,88.13506
193,58.110588
194,60.609802
195,37.25691
196,51.73351
197,74.31607
198,72.71871
199,73.47871
200,62.783024
201,61.71874
202,80.98673
203,84.08084
204,67.50966
205,42.626305
206,86.599365
207,47.29563
208,79.46818
209,71.497025
210,65.32549
211,75.74697
212,60.87185
213,64.505066
214,69.72853
215,56.18147
216,50.65254
217,55.82912
218,65.13269
219,82.73297
220,46.020008
221,65.77071
222,54.825684
223,74.25939
224,69.07998
225,58.065655
226,72.030914
227,56.89632
228,75.723564
229,68.56041
230,73.47702
231,44.56375
232,86.70034
233,79.597084
234,87.1735
235,71.90043
236,76.73192
237,64.31302
238,50.9239
239,71.59678
240,39.150387
241,77.81485
242,46.577923
243,69.472275
244,76.51816
245,55.478046
246,63.996365
247,59.074688
248,59.91263
249,62.08415
250,88.84542
251,62.577133
252,58.922314
253,82.652725
254,59.817345
255,57.010597
256,68.987274
257,63.490517
258,64.94174
259,53.812405
260,63.043537
261,48.371803
262,77.7274
263,78.25688
264,62.01794
265,38.037323
266,45.76976
267,63.21312
268,57.083572
269,45.546963
270,47.16328
271,56.060772
272,40.9923
273,58.396637
274,71.61546
275,52.875042
276,70.86274
277,67.40432
278,47.77792
279,66.246796
280,55.649483
281,66.159805
282,67.14424
283,50.632137
284,71.59292
285,48.327667
286,54.748417
287,75.167595
288,53.677376
289,61.47773
290,74.6224
291,79.00784
292,74.04786
293,51.396942
294,74.742714
295,68.32111
296,72.4746
297,81.72325
298,69.525185
299,43.3534
300,53.07699
301,56.2845
302,63.321026
303,73.328415
304,72.95145
305,66.01799
306,56.759346
307,46.709072
308,43.520798
309,79.865456
310,60.11252
311,54.398323
312,53.48782
313,62.257317
314,49.397583
315,57.58322
316,71.33835
317,64.29881
318,69.09677
319,56.222935
320,67.60315
321,69.81966
322,74.77867
323,57.7477
324,80.17019
325,72.025375
326,62.23687
327,65.459816
328,64.55382
329,70.95819
330,87.665054
331,65.469864
332,54.340282
333,52.19439
334,66.10262
335,77.03025
336,41.641773
337,48.53024
338,58.07418
339,59.620354
340,79.3923
341,71.6089
342,63.504303
343,70.59391
344,44.61422
345,55.819035
346,53.31099
347,38.3612
348,57.282757
349,69.23347
350,67.54567
351,72.20546
352,47.062088
353,58.56354
354,42.543842
355,57.466007
356,64.87338
357,61.93713
358,42.905342
359,70.39052
360,81.75859
361,71.225655
362,58.551888
363,58.022
364,71.33928
365,80.56604
366,68.886475
367,69.20515
368,63.755306
369,69.67467
370,72.567276
371,60.9017
372,68.69941
373,66.52613
374,60.714745
375,67.620026
376,54.31974
377,59.12523
378,71.23521
379,72.42881
380,64.48411
381,46.40624
382,53.591248
383,74.99436
384,71.54459
385,72.39616
386,68.05359
387,87.55533
388,73.29272
389,46.99775
390,63.590675
391,70.636246
392,81.10993
393,77.04716
394,74.66706
395,54.10767
396,56.04677
397,65.381676
398,62.35712
399,57.79132
400,65.9087
401,59.328613
402,66.74709
403,55.346123
404,79.93237
405,52.21802
406,76.490326
407,81.12958
408,54.73627
409,45.724457
410,69.5177
411,57.898056
412,48.11138
413,39.479305
414,67.611176
415,42.053123
416,62.240967
417,42.503902
