ID,score
0,18.502302
1,30.726044
2,36.589474
3,40.807228
4,29.869923
5,27.839891
6,28.671951
7,43.041054
8,27.30211
9,22.032362
10,38.244843
11,38.577366
12,21.41062
13,35.91406
14,22.231949
15,32.621365
16,30.00742
17,26.61019
18,40.769947
19,25.60298
20,22.158527
21,26.922869
22,34.189636
23,21.71522
24,33.83196
25,19.42122
26,30.32618
27,29.880762
28,29.405157
29,22.94139
30,26.174034
31,21.475977
32,39.270203
33,25.714182
34,30.327587
35,26.447153
36,22.087465
37,26.890135
38,27.643381
39,27.875927
40,42.302097
41,29.98487
42,18.674992
43,44.008144
44,40.032883
45,35.943695
46,26.505625
47,46.077812
48,22.416452
49,21.253403
50,33.654736
51,34.90119
52,33.049156
53,19.234896
54,23.56161
55,25.673212
56,37.130333
57,31.424494
58,26.332972
59,25.198248
60,26.824791
61,21.531965
62,23.182003
63,26.296507
64,32.72108
65,34.393078
66,27.173073
67,22.980396
68,34.910313
69,42.97548
70,30.275831
71,32.91379
72,34.68923
73,18.369871
74,21.829067
75,35.39769
76,31.177168
77,34.203537
78,37.849594
79,30.060854
80,26.646816
81,30.175974
82,47.503662
83,37.35649
84,25.481924
85,47.18112
86,29.39438
87,33.076572
88,32.853065
89,31.936354
90,21.051847
91,41.045856
92,13.251121
93,26.002878
94,21.373304
95,29.418457
96,36.757225
97,26.982618
98,25.192278
99,37.59644
100,43.960052
101,36.19318
102,24.746841
103,28.674887
104,31.74993
105,24.682997
106,27.440376
107,28.787846
108,34.56155
109,21.814146
110,21.13772
111,21.340239
112,29.136765
113,22.808615
114,30.940556
115,22.611433
116,21.452154
117,34.904285
118,28.29825
119,29.631197
120,25.519009
121,34.945686
122,34.358044
123,18.43794
124,35.179504
125,35.674637
126,43.31809
127,28.008389
128,24.617529
129,21.414387
130,25.398893
131,33.692722
132,32.557205
133,24.596485
134,19.172924
135,33.832054
136,38.47702
137,27.766579
138,22.263348
139,35.155003
140,37.624416
141,30.458563
142,34.77219
143,25.26086
144,28.316431
145,18.418566
146,31.397552
147,22.47615
148,22.018143
149,40.26996
150,25.782185
151,30.26661
152,22.454046
153,22.834034
154,24.882072
155,21.853786
156,20.40392
157,22.538202
158,29.494991
159,24.69883
160,25.918188
161,27.132765
162,29.642588
163,20.006758
164,41.6382
165,69.120636
166,32.45326
167,33.94958
168,21.586807
169,35.84807
170,18.720268
171,25.212957
172,25.472649
173,34.838463
174,35.41316
175,41.685837
176,30.745134
177,28.10345
178,17.478643
179,24.561705
180,34.273346
181,36.791126
182,22.706316
183,24.13257
184,44.98548
185,25.196365
186,23.924646
187,30.262297
188,24.410944
189,22.47143
190,46.080517
191,30.707533
192,31.833126
193,24.881506
194,43.30682
195,23.773628
196,25.19761
197,24.776045
198,28.207525
199,32.82629
200,35.314396
201,31.624483
202,25.770721
203,56.850708
204,35.52444
205,19.826681
206,24.874016
207,25.343239
208,30.601095
209,23.834452
210,40.531048
211,30.381248
212,33.823605
213,34.847588
214,29.138206
215,31.994146
216,22.074278
217,22.828217
218,24.675316
219,25.406675
220,22.557877
221,26.455498
222,29.356897
223,44.603573
224,42.79914
225,28.627714
226,40.857372
227,25.946152
228,36.071785
229,33.75109
230,41.254215
231,29.28237
232,41.485428
233,38.9976
234,26.84065
235,34.056305
236,22.245123
237,28.922457
238,33.284676
239,30.88251
240,22.27968
241,32.14159
242,23.027205
243,29.987473
244,43.424698
245,23.306763
246,34.568935
247,30.795856
248,25.78085
249,25.716156
250,29.025461
251,29.655237
252,28.80264
253,23.238865
254,22.810152
255,32.619328
256,22.225765
257,22.997238
258,35.128136
259,19.804756
260,18.546444
261,28.407269
262,38.38736
263,39.442623
264,29.758488
265,21.167616
266,32.614944
267,30.563057
268,28.591911
269,19.696756
270,29.749847
271,35.086094
272,22.535358
273,18.66947
274,31.535158
